,time,ID,01VCU_Tx_trqMCURR,02VCU_Tx_nMCURR,03VCU_Tx_stMCURRKeyOn,04VCU_Tx_stMCURRActDischrg,05VCU_Tx_stMCURRActSC,06VCU_Tx_stMCURRReq,07VCU_Tx_stMCUCRRMod,08VCU_Tx_stMCURRTrqFlg,09VCU_Tx_stMCURRNFlg,10VCU_Tx_ctRolling8,11VCU_Tx_numChkS8
1839,1048.64331,515,30170,38268,1,0,0,1,0,0,0,10,235
1840,1049.213282,515,30178,38268,1,0,0,1,0,0,0,3,91
1841,1049.7832779999999,515,30175,38268,1,0,0,1,0,0,0,12,203
1842,1050.353268,515,30168,38268,1,0,0,1,0,0,0,5,59
1843,1050.923249,515,30163,38268,1,0,0,1,0,0,0,14,171
1844,1051.493268,515,30163,38268,1,0,0,1,0,0,0,7,27
1845,1052.0635439999999,515,30094,38268,1,0,0,1,0,0,0,0,139
1846,1052.6332380000001,515,30096,38268,1,0,0,1,0,0,0,9,251
1847,1053.203242,515,30093,38268,1,0,0,1,0,0,0,2,107
1848,1053.773238,515,30093,38268,1,0,0,1,0,0,0,11,219
1849,1054.343256,515,30094,38268,1,0,0,1,0,0,0,4,75
1850,1054.91323,515,30097,38268,1,0,0,1,0,0,0,13,187
1851,1055.483256,515,30094,38268,1,0,0,1,0,0,0,6,43
1852,1056.05321,515,30098,38268,1,0,0,1,0,0,0,15,155
1853,1056.623226,515,30096,38268,1,0,0,1,0,0,0,8,11
1854,1057.193199,515,30097,38268,1,0,0,1,0,0,0,1,123
1855,1057.76377,515,30095,38268,1,0,0,1,0,0,0,10,235
1856,1058.333201,515,30094,38268,1,0,0,1,0,0,0,3,91
1857,1058.9031929999999,515,30093,38268,1,0,0,1,0,0,0,12,203
1858,1059.473186,515,30002,38268,1,0,0,1,0,0,0,5,59
1859,1060.043209,515,30001,38268,1,0,0,1,0,0,0,14,171
1860,1060.613177,515,30001,38268,1,0,0,1,0,0,0,7,27
1861,1061.183207,515,30000,38268,1,0,0,1,0,0,0,0,139
1862,1061.753157,515,30002,38268,1,0,0,1,0,0,0,9,251
1863,1062.323163,515,30001,38268,1,0,0,1,0,0,0,2,107
1864,1062.893175,515,30000,38268,1,0,0,1,0,0,0,11,219
1865,1063.4635230000001,515,30000,38268,1,0,0,1,0,0,0,4,75
1866,1064.033196,515,30000,38268,1,0,0,1,0,0,0,13,187
1867,1064.6031369999996,515,30000,38268,1,0,0,1,0,0,0,6,43
1868,1065.17318,515,30000,38268,1,0,0,1,0,0,0,15,155
1869,1065.743141,515,30000,38268,1,0,0,1,0,0,0,8,11
1870,1066.31318,515,30000,38268,1,0,0,1,0,0,0,1,123
