,time,ID,01VCU_Tx_trqMCUFL,02VCU_Tx_nMCUFL,03VCU_Tx_stMCUFLKeyOn,04VCU_Tx_stMCUFLActDischrg,05VCU_Tx_stMCUFLActSC,06VCU_Tx_stMCUFLReq,07VCU_Tx_stMCUCFLMod,08VCU_Tx_stMCUFLTrqFlg,09VCU_Tx_stMCUFLNFlg,10VCU_Tx_ctRolling5,11VCU_Tx_numChkS5
144,82.081262,512,30000,32769,1,0,0,0,0,0,0,12,152
145,82.651285,512,30000,32769,1,0,0,0,0,0,0,5,8
146,83.221244,512,30000,32769,1,0,0,0,0,0,0,14,120
147,83.79127199999998,512,30000,32769,1,0,0,0,0,0,0,7,232
148,84.361271,512,30000,32769,1,0,0,0,0,0,0,0,88
149,84.930995,512,30000,32769,1,0,0,0,0,0,0,9,200
150,85.500986,512,30000,32769,1,0,0,0,0,0,0,2,56
151,86.07125,512,30000,32769,1,0,0,0,0,0,0,11,168
152,86.64099300000002,512,30000,32769,1,0,0,0,0,0,0,4,24
153,87.210981,512,30000,32769,1,0,0,0,0,0,0,13,136
154,87.780967,512,30000,32769,1,0,0,0,0,0,0,6,248
155,88.350973,512,30000,32769,1,0,0,0,0,0,0,15,104
156,88.920976,512,30000,32769,1,0,0,0,0,0,0,8,216
157,89.490951,512,30000,32769,1,0,0,0,0,0,0,1,72
158,90.061256,512,30000,32769,1,0,0,0,0,0,0,10,184
159,90.630951,512,30000,32769,1,0,0,0,0,0,0,3,40
160,91.20096600000001,512,30000,32769,1,0,0,0,0,0,0,12,152
161,91.77095200000001,512,30000,32769,1,0,0,0,0,0,0,5,8
162,92.340953,512,30000,32769,1,0,0,0,0,0,0,14,120
163,92.91093599999999,512,30000,32769,1,0,0,0,0,0,0,7,232
164,93.480954,512,30000,32769,1,0,0,0,0,0,0,0,88
165,94.050944,512,30000,32769,1,0,0,0,0,0,0,9,200
166,94.620903,512,30000,32769,1,0,0,0,0,0,0,2,56
167,95.190908,512,30000,32769,1,0,0,0,0,0,0,11,168
168,95.760764,512,30000,32769,1,0,0,0,0,0,0,4,24
169,96.330892,512,30000,32769,1,0,0,0,0,0,0,13,136
170,96.90089300000001,512,30000,32769,1,0,0,0,0,0,0,6,248
171,97.4709,512,30000,32769,1,0,0,0,0,0,0,15,104
172,98.040872,512,30000,32769,1,0,0,0,0,0,0,8,216
173,98.610878,512,30000,32769,1,0,0,0,0,0,0,1,72
174,99.18088,512,30000,32769,1,0,0,0,0,0,0,10,184
175,99.750901,512,30000,32769,1,0,0,0,0,0,0,3,40
176,100.32088,512,30000,32769,1,0,0,0,0,0,0,12,152
177,100.890874,512,30000,32769,1,0,0,0,0,0,0,5,8
178,101.461228,512,30000,32769,1,0,0,0,0,0,0,14,120
179,102.030847,512,30000,32769,1,0,0,0,0,0,0,7,232
180,102.600835,512,30000,32769,1,0,0,0,0,0,0,0,88
181,103.170834,512,30000,32769,1,0,0,0,0,0,0,9,200
182,103.74086700000001,512,30000,32769,1,0,0,0,0,0,0,2,56
183,104.310854,512,30000,32769,1,0,0,0,0,0,0,11,168
184,104.88083300000001,512,30000,32769,1,0,0,0,0,0,0,4,24
185,105.450841,512,30000,32769,1,0,0,0,0,0,0,13,136
186,106.02083999999999,512,30000,32769,1,0,0,0,0,0,0,6,248
187,106.59080800000001,512,30000,32769,1,0,0,0,0,0,0,15,104
188,107.16122,512,30000,32769,1,0,0,0,0,0,0,8,216
189,107.730822,512,30000,32769,1,0,0,0,0,0,0,1,72
190,108.300825,512,30000,32769,1,0,0,0,0,0,0,10,184
191,108.870804,512,30000,32769,1,0,0,0,0,0,0,3,40
192,109.44078999999999,512,30000,32769,1,0,0,0,0,0,0,12,152
193,110.01080400000001,512,30000,32769,1,0,0,0,0,0,0,5,8
194,110.580774,512,30000,32769,1,0,0,0,0,0,0,14,120
195,111.15081,512,30000,32769,1,0,0,0,0,0,0,7,232
196,111.72076299999999,512,30000,32769,1,0,0,0,0,0,0,0,88
197,112.290783,512,30000,32769,1,0,0,0,0,0,0,9,200
198,112.86121200000001,512,30000,32769,1,0,0,0,0,0,0,2,56
199,113.43078600000001,512,30000,32769,1,0,0,0,0,0,0,11,168
200,114.000775,512,30000,32769,1,0,0,0,0,0,0,4,24
201,114.57076599999999,512,30000,32769,1,0,0,0,0,0,0,13,136
202,115.14076399999999,512,30000,32769,1,0,0,0,0,0,0,6,248
203,115.71075900000001,512,30000,32769,1,0,0,0,0,0,0,15,104
204,116.280753,512,30000,32769,1,0,0,0,0,0,0,8,216
205,116.850746,512,30000,32769,1,0,0,0,0,0,0,1,72
206,117.42071299999999,512,30000,32769,1,0,0,0,0,0,0,10,184
207,117.99071399999998,512,30000,32769,1,0,0,0,0,0,0,3,40
208,118.56119299999999,512,30000,32769,1,0,0,0,0,0,0,12,152
209,119.13071699999999,512,30000,32769,1,0,0,0,0,0,0,5,8
210,119.70071200000001,512,30000,32769,1,0,0,0,0,0,0,14,120
211,120.270716,512,30000,32769,1,0,0,0,0,0,0,7,232
212,120.840695,512,30000,32769,1,0,0,0,0,0,0,0,88
213,121.41068200000001,512,30000,32769,1,0,0,0,0,0,0,9,200
214,121.98068700000002,512,30000,32769,1,0,0,0,0,0,0,2,56
215,122.550712,512,30000,32769,1,0,0,0,0,0,0,11,168
216,123.12068400000001,512,30000,32769,1,0,0,0,0,0,0,4,24
217,123.690666,512,30000,32769,1,0,0,0,0,0,0,13,136
218,124.26045400000001,512,30000,32769,1,0,0,0,0,0,0,6,248
219,124.83068,512,30000,32769,1,0,0,0,0,0,0,15,104
220,125.40066599999999,512,30000,32769,1,0,0,0,0,0,0,8,216
221,125.970649,512,30000,32769,1,0,0,0,0,0,0,1,72
222,126.54065700000001,512,30000,32769,1,0,0,0,0,0,0,10,184
223,127.110653,512,30000,32769,1,0,0,0,0,0,0,3,40
224,127.68064299999999,512,30000,32769,1,0,0,0,0,0,0,12,152
225,128.25065700000002,512,30000,32769,1,0,0,0,0,0,0,5,8
226,128.820618,512,30000,32769,1,0,0,0,0,0,0,14,120
227,129.390612,512,30000,32769,1,0,0,0,0,0,0,7,232
228,129.960437,512,30000,32769,1,0,0,0,0,0,0,0,88
229,130.53063400000002,512,30000,32769,1,0,0,0,0,0,0,9,200
230,131.100616,512,30000,32769,1,0,0,0,0,0,0,2,56
231,131.670617,512,30000,32769,1,0,0,0,0,0,0,11,168
232,132.24059499999998,512,30000,32769,1,0,0,0,0,0,0,4,24
233,132.810585,512,30000,32769,1,0,0,0,0,0,0,13,136
234,133.38058,512,30000,32769,1,0,0,0,0,0,0,6,248
235,133.950612,512,30000,32769,1,0,0,0,0,0,0,15,104
236,134.520577,512,30000,32769,1,0,0,0,0,0,0,8,216
237,135.090575,512,30000,32769,1,0,0,0,0,0,0,1,72
238,135.66043100000002,512,30000,32769,1,0,0,0,0,0,0,10,184
239,136.230592,512,30000,32769,1,0,0,0,0,0,0,3,40
240,136.80056499999998,512,30000,32769,1,0,0,0,0,0,0,12,152
241,137.370551,512,30000,32769,1,0,0,0,0,0,0,5,8
242,137.940549,512,30000,32769,1,0,0,0,0,0,0,14,120
243,138.510575,512,30000,32769,1,0,0,0,0,0,0,7,232
244,139.080539,512,30000,32769,1,0,0,0,0,0,0,0,88
245,139.650551,512,30000,32769,1,0,0,0,0,0,0,9,200
246,140.220563,512,30000,32769,1,0,0,0,0,0,0,2,56
247,140.79052099999996,512,30000,32769,1,0,0,0,0,0,0,11,168
248,141.360416,512,30000,32769,1,0,0,0,0,0,0,4,24
249,141.930533,512,30000,32769,1,0,0,0,0,0,0,13,136
250,142.500504,512,30000,32769,1,0,0,0,0,0,0,6,248
251,143.07051299999995,512,30000,32769,1,0,0,0,0,0,0,15,104
252,143.64052900000004,512,30000,32769,1,0,0,0,0,0,0,8,216
253,144.210515,512,30000,32769,1,0,0,0,0,0,0,1,72
254,144.780494,512,30000,32769,1,0,0,0,0,0,0,10,184
255,145.35048600000005,512,30000,32769,1,0,0,0,0,0,0,3,40
256,145.920487,512,30000,32769,1,0,0,0,0,0,0,12,152
257,146.490499,512,30000,32769,1,0,0,0,0,0,0,5,8
258,147.060404,512,30000,32769,1,0,0,0,0,0,0,14,120
259,147.630495,512,30000,32769,1,0,0,0,0,0,0,7,232
260,148.200494,512,30000,32769,1,0,0,0,0,0,0,0,88
261,148.770488,512,30000,32769,1,0,0,0,0,0,0,9,200
262,149.340462,512,30000,32769,1,0,0,0,0,0,0,2,56
263,149.91046200000005,512,30000,32769,1,0,0,0,0,0,0,11,168
264,150.480476,512,30000,32769,1,0,0,0,0,0,0,4,24
265,151.05045800000005,512,30000,32769,1,0,0,0,0,0,0,13,136
266,151.620463,512,30000,32769,1,0,0,0,0,0,0,6,248
267,152.190446,512,30000,32769,1,0,0,0,0,0,0,15,104
268,152.76039,512,30000,32769,1,0,0,0,0,0,0,8,216
269,153.330415,512,30000,32769,1,0,0,0,0,0,0,1,72
270,153.900441,512,30000,32769,1,0,0,0,0,0,0,10,184
271,154.470427,512,30000,32769,1,0,0,0,0,0,0,3,40
272,155.040417,512,30000,32769,1,0,0,0,0,0,0,12,152
273,155.610419,512,30000,32769,1,0,0,0,0,0,0,5,8
274,156.180396,512,30000,32769,1,0,0,0,0,0,0,14,120
275,156.750428,512,30000,32769,1,0,0,0,0,0,0,7,232
276,157.320414,512,30000,32769,1,0,0,0,0,0,0,0,88
277,157.890397,512,30000,32769,1,0,0,0,0,0,0,9,200
278,158.46038000000001,512,30000,32769,1,0,0,0,0,0,0,2,56
279,159.030376,512,30000,32769,1,0,0,0,0,0,0,11,168
280,159.600404,512,30000,32769,1,0,0,0,0,0,0,4,24
281,160.170381,512,30000,32769,1,0,0,0,0,0,0,13,136
282,160.740379,512,30000,32769,1,0,0,0,0,0,0,6,248
283,161.31038600000005,512,30000,32769,1,0,0,0,0,0,0,15,104
284,161.880395,512,30000,32769,1,0,0,0,0,0,0,8,216
285,162.450391,512,30000,32769,1,0,0,0,0,0,0,1,72
286,163.020361,512,30000,32769,1,0,0,0,0,0,0,10,184
287,163.590372,512,30000,32769,1,0,0,0,0,0,0,3,40
288,164.16011799999995,512,30000,32769,1,0,0,0,0,0,0,12,152
289,164.730366,512,30000,32769,1,0,0,0,0,0,0,5,8
290,165.30036,512,30000,32769,1,0,0,0,0,0,0,14,120
291,165.870096,512,30000,32769,1,0,0,0,0,0,0,7,232
292,166.44036699999995,512,30000,32769,1,0,0,0,0,0,0,0,88
293,167.010064,512,30000,32769,1,0,0,0,0,0,0,9,200
294,167.580349,512,30000,32769,1,0,0,0,0,0,0,2,56
295,168.150352,512,30000,32769,1,0,0,0,0,0,0,11,168
296,168.720067,512,30000,32769,1,0,0,0,0,0,0,4,24
297,169.290085,512,30000,32769,1,0,0,0,0,0,0,13,136
298,169.860109,512,30000,32769,1,0,0,0,0,0,0,6,248
299,170.43006,512,30000,32769,1,0,0,0,0,0,0,15,104
300,171.00006000000005,512,30000,32769,1,0,0,0,0,0,0,8,216
301,171.570082,512,30000,32769,1,0,0,1,0,0,0,1,105
302,172.14005600000004,512,30000,32769,1,0,0,1,0,0,0,10,247
303,172.710054,512,30000,32769,1,0,0,1,0,0,0,3,100
304,173.280053,512,29986,32769,1,0,0,1,0,0,0,12,246
305,173.850057,512,29959,32769,1,0,0,1,0,0,0,5,116
306,174.42005,512,29958,32769,1,0,0,1,0,0,0,14,252
307,174.99004399999995,512,29931,32769,1,0,0,1,0,0,0,7,137
308,175.560104,512,29918,32769,1,0,0,1,0,0,0,0,5
309,176.130044,512,29910,32769,1,0,0,1,0,0,0,9,117
310,176.700045,512,29901,32769,1,0,0,1,0,0,0,2,239
311,177.27004,512,29891,32769,1,0,0,1,0,0,0,11,105
312,177.840045,512,29895,32769,1,0,0,1,0,0,0,4,221
